kode_prov,nama_prov,kode_kab,kab_nama,kode_kec,kec_nama,kode_desa,desa_nama
32,JAWA BARAT,6,TASIKMALAYA,120,TANJUNGJAYA,1,CIKEUSAL
32,JAWA BARAT,6,TASIKMALAYA,120,TANJUNGJAYA,2,SUKANAGARA
32,JAWA BARAT,6,TASIKMALAYA,120,TANJUNGJAYA,3,SUKASENANG
32,JAWA BARAT,6,TASIKMALAYA,120,TANJUNGJAYA,4,TANJUNGJAYA
32,JAWA BARAT,6,TASIKMALAYA,120,TANJUNGJAYA,5,CINTAJAYA
32,JAWA BARAT,6,TASIKMALAYA,120,TANJUNGJAYA,6,CIBALANARIK
32,JAWA BARAT,6,TASIKMALAYA,120,TANJUNGJAYA,7,CILOLOHAN
32,JAWA BARAT,6,TASIKMALAYA,141,JATIWARAS,1,MANDALAMEKAR
32,JAWA BARAT,6,TASIKMALAYA,141,JATIWARAS,2,KERSAGALIH
32,JAWA BARAT,6,TASIKMALAYA,141,JATIWARAS,3,CIWARAK
32,JAWA BARAT,6,TASIKMALAYA,141,JATIWARAS,4,JATIWARAS
32,JAWA BARAT,6,TASIKMALAYA,141,JATIWARAS,5,PAPAYAN
32,JAWA BARAT,6,TASIKMALAYA,141,JATIWARAS,6,NEGLASARI
32,JAWA BARAT,6,TASIKMALAYA,141,JATIWARAS,7,KAPUTIHAN
32,JAWA BARAT,6,TASIKMALAYA,141,JATIWARAS,8,SETIAWANGI
32,JAWA BARAT,6,TASIKMALAYA,141,JATIWARAS,9,SUKAKERTA
32,JAWA BARAT,6,TASIKMALAYA,141,JATIWARAS,10,KERTARAHAYU
32,JAWA BARAT,6,TASIKMALAYA,141,JATIWARAS,11,MANDALA HURIP
32,JAWA BARAT,6,TASIKMALAYA,192,MANGUNREJA,1,PASIRSALAM
32,JAWA BARAT,6,TASIKMALAYA,192,MANGUNREJA,2,SUKALUYU
32,JAWA BARAT,6,TASIKMALAYA,192,MANGUNREJA,3,SUKASUKUR
32,JAWA BARAT,6,TASIKMALAYA,192,MANGUNREJA,4,SALEBU
32,JAWA BARAT,6,TASIKMALAYA,192,MANGUNREJA,5,MANGUNREJA
32,JAWA BARAT,6,TASIKMALAYA,192,MANGUNREJA,6,MARGAJAYA
32,JAWA BARAT,6,TASIKMALAYA,210,LEUWISARI,3,ARJASARI
32,JAWA BARAT,6,TASIKMALAYA,210,LEUWISARI,7,CIAWANG
32,JAWA BARAT,6,TASIKMALAYA,210,LEUWISARI,8,JAYAMUKTI
32,JAWA BARAT,6,TASIKMALAYA,210,LEUWISARI,15,LINGGAWANGI
32,JAWA BARAT,6,TASIKMALAYA,210,LEUWISARI,16,LINGGAMULYA
32,JAWA BARAT,6,TASIKMALAYA,210,LEUWISARI,17,CIGADOG
32,JAWA BARAT,6,TASIKMALAYA,210,LEUWISARI,18,MANDALAGIRI
32,JAWA BARAT,6,TASIKMALAYA,221,SUKARATU,1,TAWANGBANTENG
32,JAWA BARAT,6,TASIKMALAYA,221,SUKARATU,2,GUNUNGSARI
32,JAWA BARAT,6,TASIKMALAYA,221,SUKARATU,3,SUKAMAHI
32,JAWA BARAT,6,TASIKMALAYA,221,SUKARATU,4,SUKAGALIH
32,JAWA BARAT,6,TASIKMALAYA,221,SUKARATU,5,INDRAJAYA
32,JAWA BARAT,6,TASIKMALAYA,221,SUKARATU,6,SUKARATU
32,JAWA BARAT,6,TASIKMALAYA,221,SUKARATU,7,SINAGAR
32,JAWA BARAT,6,TASIKMALAYA,221,SUKARATU,8,LINGGAJATI
32,JAWA BARAT,7,CIAMIS,101,BANJARANYAR,1,CIKUPA
32,JAWA BARAT,7,CIAMIS,101,BANJARANYAR,2,KARYAMUKTI
32,JAWA BARAT,7,CIAMIS,101,BANJARANYAR,3,CIGAYAM
32,JAWA BARAT,7,CIAMIS,101,BANJARANYAR,4,BANJARANYAR
